NO;username;name;tweet;language;hashtags;Label;
1;kojekrapbetawi;Muhammad Amrullah;Selamat pagi Indonesia #pilkadacovid  https://t.co/yvgMpqLNgG;in;['pilkadacovid'];POS;
2;benar_berita;BenarNews Indonesia;Hasil Hitung Cepat: Anak dan Menantu Jokowi Menangi Pilkada. Partisipasi pemilih rendah, Menkopolhukam tekankan tak ada kaitan naiknya kasus COVID-19 dengan Pilkada #Pilkada2020 #PilkadaCOVID @jokowi @perludem .  https://t.co/IWuLKM8cWO;in;['pilkada2020', 'pilkadacovid'];POS;
3;suprabacot;scutellaria;permisi... nitip dong ???? #fyp #pilkadaserentak2020  #PILKADA09122020 #REPUBLIKSULAP #PILKADACOVID  https://t.co/8l6go737jk;in;['fyp', 'pilkadaserentak2020', 'pilkada09122020', 'republiksulap', 'pilkadacovid'];POS;
4;lestarisarmi;Sarmi Lestari;pilkada2020 #pilkadacovid #pilkadamaut  Data per 3/12/2020 terdapat penambahan sebanyak 8.369 kasus positif covid dimana jumlah kematian sudah mencapai 17.355 orang. Astaghfirullah !!! Bukankah pilkada akan membuat semakin banyak orang untuk berkumpul dan bisa menambah lonjakan  https://t.co/CPNhjIXjXM;in;['pilkadacovid', 'pilkadamaut'];POS;
5;bawaslujatim;Bawaslu Jatim;Evaluasi Media Sosial Bawaslu Jatim, Youtube Paling Menarik  Cek selengkapnya di:  https://t.co/KMyUWHyTYo  #bawaslujatim #bawaslujawatimur #sahabatbawaslu #salamawas #ayoawasi #bawaslumengawasi #cegah #awasi #tindak #pilkada2020;in;['bawaslujatim', 'bawaslujawatimur', 'sahabatbawaslu', 'salamawas', 'ayoawasi', 'bawaslumengawasi', 'cegah', 'awasi', 'tindak', 'pilkada2020'];POS;
6;masjidrayakbm;MASJID RAYA;Gus Yazid Ajak Masyarakat Dukung Bupati dan Wakil Bupati Terpilih #IniKebumen #pilkada2020 #pilbupkebumen2020 @ini_net  https://t.co/GmS59sWTZK;in;['inikebumen', 'pilkada2020', 'pilbupkebumen2020'];POS;
7;balanekangjuki;WongKebumenBisaNgapaBaen;#masukpakeko  Gus Yazid Ajak Masyarakat Dukung Bupati dan Wakil Bupati Terpilih #IniKebumen #pilkada2020 #pilbupkebumen2020 @ini_net  https://t.co/Yp1Fz5s0kD;in;['masukpakeko', 'inikebumen', 'pilkada2020', 'pilbupkebumen2020'];POS;
8;penyebarkabar;Korban PHP;#Mmmh  Gus Yazid Ajak Masyarakat Dukung Bupati dan Wakil Bupati Terpilih #IniKebumen #pilkada2020 #pilbupkebumen2020 @ini_net  https://t.co/1sHIwdoh3K;in;['mmmh', 'inikebumen', 'pilkada2020', 'pilbupkebumen2020'];POS;
9;ini_net;ini.kebumen.net;Gus Yazid Ajak Masyarakat Dukung Bupati dan Wakil Bupati Terpilih #IniKebumen #pilkada2020 #pilbupkebumen2020   https://t.co/rkmL5BT8N4;in;['inikebumen', 'pilkada2020', 'pilbupkebumen2020'];POS;
10;nasdem;Partai NasDem;DPP Partai NasDem juga menunjuk Kakak Hermawi Taslim sebagai ketua tim pengacara yang akan mendampingi calon Bupati Kabupaten Banjar, Kalimantan Selatan ini.  #Pilkada2020 #PilkadaBanjar #NasDemAntiMahar #RestorasiIndonesia;in;['pilkada2020', 'pilkadabanjar', 'nasdemantimahar', 'restorasiindonesia'];NEG;
11;kaltimofficial;Kaltim Official;Bukti kesuksessan pemerintah menyelenggarakan Pilkada serentak 2020, tidak ditemukan klaster baru saat pelaksanaan Pilkada.  #COVID19  #pilkada2020  #FPIOrmasRadikalIslam  https://t.co/BNDVXDw0LS;in;['covid19', 'pilkada2020', 'fpiormasradikalislam'];NEG;
12;seputarinfoindo;Seputar Info Indonesia;Pilkada 2020 Berjalan Aman, Lancar dan Tertib  #PilkadaAmanDanSehat #PilkadaTaatiProkes #PilkadaSerentak2020 #Pilkada2020  https://t.co/YWlODcOadV;in;['pilkadaamandansehat', 'pilkadataatiprokes', 'pilkadaserentak2020', 'pilkada2020'];NEG;
13;seputarinfoindo;Seputar Info Indonesia;Pilkada 2020 Berjalan Aman, Lancar dan Tertib  #PilkadaAmanDanSehat #PilkadaTaatiProkes #PilkadaSerentak2020 #Pilkada2020  https://t.co/6lAK9AUPjm;in;['pilkadaamandansehat', 'pilkadataatiprokes', 'pilkadaserentak2020', 'pilkada2020'];NEG;
14;marjenrokcalva;Rokcalva;@KEMENPORA_RI Buka Peluang Sumbar Jadi Tuan Rumah JPI Tahun 2021 #COVID19 #Pilkada2020 #PilkadaSerentak2020 #COVID  #sumbar #beritaminangcom #beritaminang #minanghebat #sumbarbermartabat  https://t.co/ZrZ9DSAxrn;in;['covid19', 'pilkada2020', 'pilkadaserentak2020', 'covid', 'sumbar', 'beritaminangcom', 'beritaminang', 'minanghebat', 'sumbarbermartabat'];NEG;
15;bawasludepok_;Bawaslu Kota Depok;Halo #SahabatBawaslu. Depok (30 Desember 2020), Bawaslu Kota Depok menerima penyerahan laporan hasil pemantauan Relawan KISP Kota Depok dalam Penyelenggaraan Pilkada Tahun 2020 di Kota Depok.  #BawasluMengawasi #BawasluKotaDepokKawalPilkada #CegahAwasiTindak #Pilkada2020  https://t.co/OJCIFTFeJg;in;['sahabatbawaslu', 'bawaslumengawasi', 'bawaslukotadepokkawalpilkada', 'cegahawasitindak', 'pilkada2020'];NEG;
